FeederLogID,LineID,OrderID,FeederSlotNo,ComponentPartNumber,ReelLotNo,LoadedTimestamp,ComponentsLoadedQty,ComponentsConsumedQty,ComponentsRemainingQty,LoadedByOperatorID
FLOG-000032,LINE-B,ORD-1404-0004,28,RES-0201-47K,LOT-985156,1404/11/02 09:41:00,10000,31,9969,EMP-006
FLOG-000033,LINE-B,ORD-1404-0004,29,RES-0402-4K7,LOT-166173,1404/11/02 09:41:00,5000,31,4969,EMP-006
FLOG-000034,LINE-B,ORD-1404-0004,46,RES-0402-22R,LOT-226975,1404/11/02 09:41:00,5000,32,4968,EMP-006
FLOG-000035,LINE-B,ORD-1404-0004,3,RES-0402-1K,LOT-624379,1404/11/02 09:41:00,2500,31,2469,EMP-006
FLOG-000036,LINE-B,ORD-1404-0004,27,DIO-SS14,LOT-314558,1404/11/02 09:41:00,5000,30,4970,EMP-006
FLOG-000037,LINE-B,ORD-1404-0004,4,RES-0402-1K,LOT-401006,1404/11/02 09:41:00,5000,31,4969,EMP-006
FLOG-000038,LINE-B,ORD-1404-0004,7,CAP-0603-10uF,LOT-594601,1404/11/02 09:41:00,4000,31,3969,EMP-006
FLOG-000039,LINE-B,ORD-1404-0004,20,RES-0402-330R,LOT-890732,1404/11/02 09:41:00,5000,31,4969,EMP-006
FLOG-000040,LINE-B,ORD-1404-0004,33,CAP-0201-10pF,LOT-979100,1404/11/02 09:41:00,2500,32,2468,EMP-006
FLOG-000041,LINE-B,ORD-1404-0005,40,RES-0402-22R,LOT-143292,1404/11/02 11:58:00,2500,45,2455,EMP-007
FLOG-000042,LINE-B,ORD-1404-0005,29,CAP-0201-100nF,LOT-283242,1404/11/02 11:58:00,5000,46,4954,EMP-007
FLOG-000043,LINE-B,ORD-1404-0005,2,CAP-0201-10pF,LOT-199094,1404/11/02 11:58:00,10000,47,9953,EMP-007
FLOG-000044,LINE-B,ORD-1404-0005,12,RES-0402-100R,LOT-348561,1404/11/02 11:58:00,2500,49,2451,EMP-007
FLOG-000045,LINE-B,ORD-1404-0005,11,IC-SOIC-EEPROM-24C02,LOT-263339,1404/11/02 11:58:00,2500,47,2453,EMP-007
FLOG-000046,LINE-B,ORD-1404-0005,50,DIO-SS14,LOT-279124,1404/11/02 11:58:00,4000,49,3951,EMP-007
FLOG-000047,LINE-B,ORD-1404-0005,22,RES-0201-10K,LOT-710167,1404/11/02 11:58:00,10000,50,9950,EMP-007
FLOG-000048,LINE-B,ORD-1404-0005,60,DIO-LED-0603-GRN,LOT-123641,1404/11/02 11:58:00,5000,49,4951,EMP-007
FLOG-000049,LINE-B,ORD-1404-0005,43,DIO-LED-0603-GRN,LOT-552851,1404/11/02 11:58:00,10000,47,9953,EMP-007
FLOG-000050,LINE-B,ORD-1404-0005,56,IC-SOIC-EEPROM-24C02,LOT-250690,1404/11/02 11:58:00,4000,51,3949,EMP-007
FLOG-000051,LINE-B,ORD-1404-0005,21,CONN-HDR-4P,LOT-880147,1404/11/02 11:58:00,4000,46,3954,EMP-007
FLOG-000052,LINE-A,ORD-1404-0006,29,IC-SOIC-MCU-STM32F1,LOT-575127,1404/11/04 08:06:00,5000,47,4953,EMP-001
FLOG-000053,LINE-A,ORD-1404-0006,25,IC-SOIC-PMIC-BUCK1A,LOT-808058,1404/11/04 08:06:00,4000,51,3949,EMP-001
FLOG-000054,LINE-A,ORD-1404-0006,10,RES-0201-47K,LOT-549115,1404/11/04 08:06:00,4000,51,3949,EMP-001
FLOG-000055,LINE-A,ORD-1404-0006,12,RES-0201-47K,LOT-370925,1404/11/04 08:06:00,5000,48,4952,EMP-001
FLOG-000056,LINE-A,ORD-1404-0006,16,DIO-1N4148,LOT-905186,1404/11/04 08:06:00,5000,51,4949,EMP-001
FLOG-000057,LINE-A,ORD-1404-0006,57,CAP-0603-1uF,LOT-553844,1404/11/04 08:06:00,10000,49,9951,EMP-001
FLOG-000058,LINE-A,ORD-1404-0007,47,RES-0201-47K,LOT-957840,1404/11/04 07:00:00,4000,87,3913,EMP-001
FLOG-000059,LINE-A,ORD-1404-0007,50,CAP-0201-10pF,LOT-357905,1404/11/04 07:00:00,5000,85,4915,EMP-001
FLOG-000060,LINE-A,ORD-1404-0007,48,IC-SOIC-EEPROM-24C02,LOT-425324,1404/11/04 07:00:00,10000,84,9916,EMP-001
FLOG-000061,LINE-A,ORD-1404-0007,22,DIO-SS14,LOT-395375,1404/11/04 07:00:00,4000,84,3916,EMP-001
FLOG-000062,LINE-A,ORD-1404-0007,42,CAP-0201-100nF,LOT-903125,1404/11/04 07:00:00,10000,84,9916,EMP-001
FLOG-000063,LINE-A,ORD-1404-0007,7,RES-0402-100R,LOT-609151,1404/11/04 07:00:00,5000,88,4912,EMP-001
FLOG-000064,LINE-A,ORD-1404-0007,11,CONN-TERM-BLOCK-3P,LOT-484962,1404/11/04 07:00:00,5000,83,4917,EMP-001
FLOG-000065,LINE-B,ORD-1404-0008,16,IC-SOIC-OPAMP-DUAL,LOT-167642,1404/11/01 12:25:00,10000,12,9988,EMP-006
FLOG-000066,LINE-B,ORD-1404-0008,4,IC-SOIC-MCU-STM32F1,LOT-498744,1404/11/01 12:25:00,5000,13,4987,EMP-006
FLOG-000067,LINE-B,ORD-1404-0008,56,CAP-0201-100nF,LOT-543974,1404/11/01 12:25:00,4000,13,3987,EMP-006
FLOG-000068,LINE-B,ORD-1404-0008,32,IC-SOIC-PMIC-BUCK1A,LOT-475151,1404/11/01 12:25:00,4000,12,3988,EMP-006
FLOG-000069,LINE-B,ORD-1404-0008,22,CAP-0201-10pF,LOT-558678,1404/11/01 12:25:00,2500,12,2488,EMP-006
FLOG-000070,LINE-B,ORD-1404-0008,58,DIO-LED-0603-RED,LOT-919715,1404/11/01 12:25:00,5000,13,4987,EMP-006
FLOG-000071,LINE-B,ORD-1404-0008,14,RES-0402-330R,LOT-119324,1404/11/01 12:25:00,2500,12,2488,EMP-006
FLOG-000072,LINE-B,ORD-1404-0008,44,CONN-HDR-4P,LOT-271668,1404/11/01 12:25:00,2500,12,2488,EMP-006
FLOG-000073,LINE-B,ORD-1404-0009,12,DIO-LED-0603-RED,LOT-765805,1404/11/04 07:02:00,5000,197,4803,EMP-006
FLOG-000074,LINE-B,ORD-1404-0009,45,RES-0402-1K,LOT-459787,1404/11/04 07:02:00,10000,208,9792,EMP-006
FLOG-000075,LINE-B,ORD-1404-0009,27,RES-0402-330R,LOT-281749,1404/11/04 07:02:00,2500,206,2294,EMP-006
FLOG-000076,LINE-B,ORD-1404-0009,56,CAP-0603-1uF,LOT-924222,1404/11/04 07:02:00,4000,216,3784,EMP-006
FLOG-000077,LINE-B,ORD-1404-0009,32,CAP-0603-22pF,LOT-521977,1404/11/04 07:02:00,4000,205,3795,EMP-006
FLOG-000078,LINE-B,ORD-1404-0009,7,IC-SOIC-MCU-ATMEGA328,LOT-621185,1404/11/04 07:02:00,4000,199,3801,EMP-006
FLOG-000079,LINE-B,ORD-1404-0009,2,CONN-USB-C,LOT-977752,1404/11/04 07:02:00,10000,211,9789,EMP-006
FLOG-000080,LINE-B,ORD-1404-0010,44,CAP-0201-100nF,LOT-795183,1404/11/04 07:48:00,2500,29,2471,EMP-010
FLOG-000081,LINE-B,ORD-1404-0010,6,RES-0201-10K,LOT-378778,1404/11/04 07:48:00,5000,31,4969,EMP-010
FLOG-000082,LINE-B,ORD-1404-0010,24,CAP-0603-1uF,LOT-276879,1404/11/04 07:48:00,4000,30,3970,EMP-010
FLOG-000083,LINE-B,ORD-1404-0010,14,IC-SOIC-EEPROM-24C02,LOT-675790,1404/11/04 07:48:00,10000,33,9967,EMP-010
FLOG-000084,LINE-B,ORD-1404-0010,47,CAP-0603-22pF,LOT-397956,1404/11/04 07:48:00,2500,30,2470,EMP-010
FLOG-000085,LINE-B,ORD-1404-0010,4,CAP-0603-100nF,LOT-167195,1404/11/04 07:48:00,10000,29,9971,EMP-010
FLOG-000086,LINE-B,ORD-1404-0010,45,RES-0402-100K,LOT-189396,1404/11/04 07:48:00,2500,30,2470,EMP-010
FLOG-000087,LINE-B,ORD-1404-0010,1,IC-SOIC-OPAMP-DUAL,LOT-667345,1404/11/04 07:48:00,5000,32,4968,EMP-010
FLOG-000088,LINE-B,ORD-1404-0010,27,IC-SOIC-EEPROM-24C02,LOT-632763,1404/11/04 07:48:00,4000,29,3971,EMP-010
FLOG-000089,LINE-B,ORD-1404-0010,12,RES-0402-4K7,LOT-233546,1404/11/04 07:48:00,10000,31,9969,EMP-010
FLOG-000090,LINE-B,ORD-1404-0010,39,RES-0402-1K,LOT-452186,1404/11/04 07:48:00,5000,30,4970,EMP-010
FLOG-000091,LINE-B,ORD-1404-0010,42,IC-BGA-PMIC-MULTI,LOT-289144,1404/11/04 07:48:00,10000,30,9970,EMP-010
FLOG-000092,LINE-A,ORD-1404-0011,45,DIO-LED-0603-RED,LOT-617625,1404/11/05 13:15:00,5000,30,4970,EMP-005
FLOG-000093,LINE-A,ORD-1404-0011,23,CAP-0201-100nF,LOT-223533,1404/11/05 13:15:00,2500,28,2472,EMP-005
FLOG-000094,LINE-A,ORD-1404-0011,49,RES-0402-330R,LOT-617817,1404/11/05 13:15:00,2500,27,2473,EMP-005
FLOG-000095,LINE-A,ORD-1404-0011,32,DIO-SS14,LOT-806411,1404/11/05 13:15:00,5000,27,4973,EMP-005
FLOG-000096,LINE-A,ORD-1404-0011,57,DIO-LED-0603-GRN,LOT-761371,1404/11/05 13:15:00,5000,29,4971,EMP-005
FLOG-000097,LINE-A,ORD-1404-0011,55,RES-0201-100K,LOT-558560,1404/11/05 13:15:00,4000,28,3972,EMP-005
FLOG-000098,LINE-A,ORD-1404-0011,4,IC-SOIC-MCU-ATMEGA328,LOT-798451,1404/11/05 13:15:00,2500,30,2470,EMP-005
FLOG-000099,LINE-A,ORD-1404-0011,38,CAP-0603-22pF,LOT-561290,1404/11/05 13:15:00,10000,27,9973,EMP-005
FLOG-000100,LINE-A,ORD-1404-0011,40,IC-SOIC-EEPROM-24C02,LOT-350493,1404/11/05 13:15:00,4000,29,3971,EMP-005
FLOG-000101,LINE-A,ORD-1404-0011,42,CAP-0201-10pF,LOT-648428,1404/11/05 13:15:00,2500,31,2469,EMP-005
FLOG-000102,LINE-A,ORD-1404-0011,7,RES-0201-47K,LOT-776553,1404/11/05 13:15:00,4000,27,3973,EMP-005
FLOG-000103,LINE-A,ORD-1404-0011,25,DIO-SS14,LOT-673838,1404/11/05 13:15:00,2500,31,2469,EMP-005
FLOG-000104,LINE-A,ORD-1404-0011,36,IC-SOIC-OPAMP-DUAL,LOT-357578,1404/11/05 13:15:00,4000,30,3970,EMP-005
FLOG-000105,LINE-A,ORD-1404-0011,9,CAP-0603-10uF,LOT-864007,1404/11/05 13:15:00,5000,27,4973,EMP-005
FLOG-000106,LINE-A,ORD-1404-0012,44,CAP-0603-4.7uF,LOT-154788,1404/11/04 07:08:00,10000,7,9993,EMP-001
FLOG-000107,LINE-A,ORD-1404-0012,57,IC-SOIC-OPAMP-DUAL,LOT-274271,1404/11/04 07:08:00,4000,7,3993,EMP-001
FLOG-000108,LINE-A,ORD-1404-0012,49,CAP-0201-10pF,LOT-906587,1404/11/04 07:08:00,2500,7,2493,EMP-001
FLOG-000109,LINE-A,ORD-1404-0012,46,RES-0402-1K,LOT-894984,1404/11/04 07:08:00,4000,7,3993,EMP-001
FLOG-000110,LINE-A,ORD-1404-0012,29,RES-0201-47K,LOT-730093,1404/11/04 07:08:00,2500,7,2493,EMP-001
FLOG-000111,LINE-A,ORD-1404-0012,53,RES-0402-100K,LOT-917478,1404/11/04 07:08:00,2500,7,2493,EMP-001
FLOG-000112,LINE-A,ORD-1404-0013,6,RES-0201-10K,LOT-569993,1404/11/02 09:26:00,10000,26,9974,EMP-004
FLOG-000113,LINE-A,ORD-1404-0013,18,RES-0201-10K,LOT-574992,1404/11/02 09:26:00,5000,24,4976,EMP-004
FLOG-000114,LINE-A,ORD-1404-0013,21,IC-SOIC-EEPROM-24C02,LOT-517235,1404/11/02 09:26:00,2500,25,2475,EMP-004
FLOG-000115,LINE-A,ORD-1404-0013,16,IC-SOIC-EEPROM-24C02,LOT-393491,1404/11/02 09:26:00,4000,25,3975,EMP-004
FLOG-000116,LINE-A,ORD-1404-0013,13,RES-0201-47K,LOT-209167,1404/11/02 09:26:00,4000,26,3974,EMP-004
FLOG-000117,LINE-A,ORD-1404-0013,50,DIO-LED-0603-GRN,LOT-174371,1404/11/02 09:26:00,4000,27,3973,EMP-004
FLOG-000118,LINE-A,ORD-1404-0013,5,DIO-1N4148,LOT-446844,1404/11/02 09:26:00,5000,27,4973,EMP-004
FLOG-000119,LINE-A,ORD-1404-0013,14,CAP-0603-100pF,LOT-497327,1404/11/02 09:26:00,4000,26,3974,EMP-004
FLOG-000120,LINE-A,ORD-1404-0013,46,CAP-0603-22pF,LOT-322900,1404/11/02 09:26:00,10000,25,9975,EMP-004
FLOG-000121,LINE-A,ORD-1404-0013,36,DIO-LED-0603-RED,LOT-372296,1404/11/02 09:26:00,2500,25,2475,EMP-004
FLOG-000122,LINE-A,ORD-1404-0013,22,RES-0402-330R,LOT-493605,1404/11/02 09:26:00,4000,26,3974,EMP-004
FLOG-000123,LINE-A,ORD-1404-0013,37,CAP-0201-100nF,LOT-805309,1404/11/02 09:26:00,5000,26,4974,EMP-004
FLOG-000124,LINE-A,ORD-1404-0013,45,CAP-0603-22pF,LOT-334067,1404/11/02 09:26:00,2500,24,2476,EMP-004
FLOG-000125,LINE-A,ORD-1404-0013,28,RES-0201-100K,LOT-155476,1404/11/02 09:26:00,10000,26,9974,EMP-004
FLOG-000126,LINE-A,ORD-1404-0013,3,IC-BGA-PMIC-MULTI,LOT-782956,1404/11/02 09:26:00,4000,24,3976,EMP-004
FLOG-000127,LINE-B,ORD-1404-0014,27,IC-SOIC-PMIC-BUCK1A,LOT-408361,1404/11/06 13:07:00,5000,97,4903,EMP-006
FLOG-000128,LINE-B,ORD-1404-0014,41,RES-0402-10R,LOT-647614,1404/11/06 13:07:00,5000,95,4905,EMP-006
FLOG-000129,LINE-B,ORD-1404-0014,49,RES-0402-4K7,LOT-790632,1404/11/06 13:07:00,5000,99,4901,EMP-006
FLOG-000130,LINE-B,ORD-1404-0014,26,DIO-SS14,LOT-888737,1404/11/06 13:07:00,10000,97,9903,EMP-006
FLOG-000131,LINE-B,ORD-1404-0014,38,CAP-0603-1uF,LOT-130920,1404/11/06 13:07:00,4000,95,3905,EMP-006
FLOG-000132,LINE-B,ORD-1404-0014,43,RES-0402-10R,LOT-961034,1404/11/06 13:07:00,4000,100,3900,EMP-006
FLOG-000133,LINE-B,ORD-1404-0014,24,CAP-0603-22pF,LOT-915806,1404/11/06 13:07:00,5000,98,4902,EMP-006
FLOG-000134,LINE-B,ORD-1404-0014,46,IC-SOIC-OPAMP-DUAL,LOT-987492,1404/11/06 13:07:00,10000,97,9903,EMP-006
FLOG-000135,LINE-B,ORD-1404-0014,40,IC-SOIC-MCU-STM32F1,LOT-911079,1404/11/06 13:07:00,2500,91,2409,EMP-006
FLOG-000136,LINE-B,ORD-1404-0014,31,CAP-0603-1uF,LOT-266257,1404/11/06 13:07:00,2500,91,2409,EMP-006
FLOG-000137,LINE-B,ORD-1404-0014,35,IC-SOIC-MCU-STM32F1,LOT-104750,1404/11/06 13:07:00,5000,98,4902,EMP-006
FLOG-000138,LINE-B,ORD-1404-0014,54,CAP-0603-100pF,LOT-167511,1404/11/06 13:07:00,10000,91,9909,EMP-006
FLOG-000139,LINE-B,ORD-1404-0014,22,CONN-HDR-4P,LOT-528896,1404/11/06 13:07:00,5000,89,4911,EMP-006
FLOG-000140,LINE-B,ORD-1404-0015,34,CAP-0603-22pF,LOT-721076,1404/11/07 08:33:00,10000,55,9945,EMP-008
FLOG-000141,LINE-B,ORD-1404-0015,32,RES-0402-1K,LOT-124965,1404/11/07 08:33:00,5000,55,4945,EMP-008
FLOG-000142,LINE-B,ORD-1404-0015,20,IC-SOIC-OPAMP-DUAL,LOT-312249,1404/11/07 08:33:00,2500,57,2443,EMP-008
FLOG-000143,LINE-B,ORD-1404-0015,1,CAP-0603-100nF,LOT-628499,1404/11/07 08:33:00,2500,56,2444,EMP-008
FLOG-000144,LINE-B,ORD-1404-0015,30,CAP-0603-22pF,LOT-889272,1404/11/07 08:33:00,2500,60,2440,EMP-008
FLOG-000145,LINE-B,ORD-1404-0015,60,RES-0201-10K,LOT-763509,1404/11/07 08:33:00,4000,61,3939,EMP-008
FLOG-000146,LINE-B,ORD-1404-0015,39,RES-0402-330R,LOT-215308,1404/11/07 08:33:00,2500,58,2442,EMP-008
FLOG-000147,LINE-B,ORD-1404-0015,33,RES-0402-100K,LOT-562179,1404/11/07 08:33:00,2500,62,2438,EMP-008
FLOG-000148,LINE-B,ORD-1404-0015,19,IC-SOIC-PMIC-BUCK1A,LOT-344699,1404/11/07 08:33:00,4000,55,3945,EMP-008
FLOG-000149,LINE-B,ORD-1404-0015,59,CAP-0603-1uF,LOT-878604,1404/11/07 08:33:00,2500,61,2439,EMP-008
FLOG-000150,LINE-B,ORD-1404-0015,37,IC-SOIC-MCU-STM32F1,LOT-382397,1404/11/07 08:33:00,4000,61,3939,EMP-008
FLOG-000151,LINE-B,ORD-1404-0015,8,CAP-0603-100pF,LOT-175123,1404/11/07 08:33:00,2500,56,2444,EMP-008
FLOG-000152,LINE-B,ORD-1404-0015,22,IC-BGA-PMIC-MULTI,LOT-975844,1404/11/07 08:33:00,5000,59,4941,EMP-008
FLOG-000153,LINE-A,ORD-1404-0016,28,RES-0402-10K,LOT-236522,1404/11/07 10:50:00,4000,184,3816,EMP-001
FLOG-000154,LINE-A,ORD-1404-0016,13,DIO-LED-0603-GRN,LOT-751090,1404/11/07 10:50:00,5000,185,4815,EMP-001
FLOG-000155,LINE-A,ORD-1404-0016,12,IC-SOIC-PMIC-BUCK1A,LOT-636118,1404/11/07 10:50:00,2500,202,2298,EMP-001
FLOG-000156,LINE-A,ORD-1404-0016,36,DIO-LED-0603-GRN,LOT-326506,1404/11/07 10:50:00,5000,180,4820,EMP-001
FLOG-000157,LINE-A,ORD-1404-0016,3,RES-0402-22R,LOT-859337,1404/11/07 10:50:00,10000,197,9803,EMP-001
FLOG-000158,LINE-A,ORD-1404-0016,41,CAP-0603-22pF,LOT-128773,1404/11/07 10:50:00,2500,195,2305,EMP-001
FLOG-000159,LINE-A,ORD-1404-0016,9,DIO-LED-0603-RED,LOT-276633,1404/11/07 10:50:00,4000,186,3814,EMP-001
FLOG-000160,LINE-A,ORD-1404-0016,52,RES-0402-10K,LOT-541790,1404/11/07 10:50:00,4000,202,3798,EMP-001
FLOG-000161,LINE-A,ORD-1404-0016,15,RES-0402-10R,LOT-818754,1404/11/07 10:50:00,10000,184,9816,EMP-001
FLOG-000162,LINE-A,ORD-1404-0016,32,IC-SOIC-MCU-STM32F1,LOT-830372,1404/11/07 10:50:00,2500,179,2321,EMP-001
FLOG-000163,LINE-A,ORD-1404-0016,47,IC-SOIC-EEPROM-24C02,LOT-502924,1404/11/07 10:50:00,5000,199,4801,EMP-001
FLOG-000164,LINE-A,ORD-1404-0016,11,RES-0201-10K,LOT-146656,1404/11/07 10:50:00,2500,200,2300,EMP-001
FLOG-000165,LINE-A,ORD-1404-0016,2,CAP-0603-100pF,LOT-637049,1404/11/07 10:50:00,5000,200,4800,EMP-001
FLOG-000166,LINE-A,ORD-1404-0016,33,RES-0402-4K7,LOT-529604,1404/11/07 10:50:00,2500,205,2295,EMP-001
FLOG-000167,LINE-A,ORD-1404-0017,54,CAP-0603-100nF,LOT-139171,1404/11/05 08:32:00,2500,94,2406,EMP-003
FLOG-000168,LINE-A,ORD-1404-0017,41,RES-0201-100K,LOT-214191,1404/11/05 08:32:00,2500,96,2404,EMP-003
FLOG-000169,LINE-A,ORD-1404-0017,20,DIO-SS14,LOT-485374,1404/11/05 08:32:00,10000,92,9908,EMP-003
FLOG-000170,LINE-A,ORD-1404-0017,58,DIO-1N4148,LOT-244761,1404/11/05 08:32:00,2500,98,2402,EMP-003
FLOG-000171,LINE-A,ORD-1404-0017,21,DIO-LED-0603-GRN,LOT-463439,1404/11/05 08:32:00,2500,87,2413,EMP-003
FLOG-000172,LINE-A,ORD-1404-0017,51,RES-0402-100R,LOT-592918,1404/11/05 08:32:00,2500,89,2411,EMP-003
FLOG-000173,LINE-A,ORD-1404-0017,42,IC-SOIC-PMIC-BUCK1A,LOT-982157,1404/11/05 08:32:00,4000,93,3907,EMP-003
FLOG-000174,LINE-A,ORD-1404-0017,36,RES-0402-22R,LOT-805737,1404/11/05 08:32:00,5000,91,4909,EMP-003
FLOG-000175,LINE-A,ORD-1404-0017,31,CONN-USB-C,LOT-619264,1404/11/05 08:32:00,10000,98,9902,EMP-003
FLOG-000176,LINE-A,ORD-1404-0018,33,RES-0201-1K,LOT-905597,1404/11/05 11:22:00,4000,62,3938,EMP-004
FLOG-000177,LINE-A,ORD-1404-0018,44,CAP-0603-100pF,LOT-116226,1404/11/05 11:22:00,5000,61,4939,EMP-004
FLOG-000178,LINE-A,ORD-1404-0018,24,IC-SOIC-MCU-STM32F1,LOT-618322,1404/11/05 11:22:00,5000,59,4941,EMP-004
FLOG-000179,LINE-A,ORD-1404-0018,2,CAP-0603-100pF,LOT-813249,1404/11/05 11:22:00,2500,63,2437,EMP-004
FLOG-000180,LINE-A,ORD-1404-0018,18,DIO-LED-0603-RED,LOT-212483,1404/11/05 11:22:00,4000,61,3939,EMP-004
FLOG-000181,LINE-A,ORD-1404-0018,5,RES-0402-1K,LOT-330231,1404/11/05 11:22:00,2500,64,2436,EMP-004
FLOG-000182,LINE-A,ORD-1404-0018,27,RES-0402-100R,LOT-519876,1404/11/05 11:22:00,5000,56,4944,EMP-004
FLOG-000183,LINE-A,ORD-1404-0018,9,IC-SOIC-MCU-STM32F1,LOT-517270,1404/11/05 11:22:00,4000,57,3943,EMP-004
FLOG-000184,LINE-A,ORD-1404-0018,6,RES-0201-47K,LOT-437236,1404/11/05 11:22:00,2500,56,2444,EMP-004
FLOG-000185,LINE-A,ORD-1404-0018,50,IC-SOIC-PMIC-BUCK1A,LOT-305308,1404/11/05 11:22:00,2500,59,2441,EMP-004
FLOG-000186,LINE-A,ORD-1404-0018,28,RES-0402-22R,LOT-311729,1404/11/05 11:22:00,10000,61,9939,EMP-004
FLOG-000187,LINE-A,ORD-1404-0018,22,CAP-0603-22pF,LOT-269609,1404/11/05 11:22:00,4000,63,3937,EMP-004
FLOG-000188,LINE-A,ORD-1404-0018,7,RES-0402-10R,LOT-500896,1404/11/05 11:22:00,4000,61,3939,EMP-004
FLOG-000189,LINE-B,ORD-1404-0019,45,CAP-0603-100nF,LOT-770655,1404/11/05 09:40:00,2500,97,2403,EMP-006
FLOG-000190,LINE-B,ORD-1404-0019,18,RES-0402-4K7,LOT-438867,1404/11/05 09:40:00,2500,100,2400,EMP-006
FLOG-000191,LINE-B,ORD-1404-0019,38,IC-SOIC-MCU-ATMEGA328,LOT-609482,1404/11/05 09:40:00,5000,91,4909,EMP-006
