ProjectLogID,OrderID,LineID,ProgramName,OperatorID,JobStartTimestamp,JobEndTimestamp,PlannedQty,ProducedGoodQty,ProducedRejectQty,TotalStoppageMinutes,Status
PLOG-00033,ORD-1404-0033,LINE-B,PRG_ORD-1404-0033,EMP-009,1404/11/11 09:44:00,1404/11/11 11:21:01,29,29,0,0,Completed
PLOG-00034,ORD-1404-0034,LINE-B,PRG_ORD-1404-0034,EMP-009,1404/11/09 14:43:00,1404/11/11 11:09:29,20,20,0,133,Completed
PLOG-00035,ORD-1404-0035,LINE-B,PRG_ORD-1404-0035,EMP-006,1404/11/11 07:00:00,1404/11/11 12:00:31,21,21,0,6,Completed
PLOG-00036,ORD-1404-0036,LINE-B,PRG_ORD-1404-0036,EMP-006,1404/11/12 13:09:00,1404/11/12 16:07:00,13,13,0,19,Completed
PLOG-00037,ORD-1404-0037,LINE-A,PRG_ORD-1404-0037,EMP-002,1404/11/11 10:37:00,1404/11/11 13:47:48,48,47,1,10,Completed
PLOG-00038,ORD-1404-0038,LINE-B,PRG_ORD-1404-0038,EMP-006,1404/11/15 12:29:00,1404/11/15 17:49:26,52,52,0,5,Completed
PLOG-00039,ORD-1404-0039,LINE-B,PRG_ORD-1404-0039,EMP-010,1404/11/16 13:33:00,1404/11/18 10:12:01,62,58,4,20,Completed
PLOG-00040,ORD-1404-0040,LINE-B,PRG_ORD-1404-0040,EMP-007,1404/11/14 11:09:00,1404/11/14 14:15:37,49,47,2,11,Completed
PLOG-00041,ORD-1404-0041,LINE-A,PRG_ORD-1404-0041,EMP-001,1404/11/18 07:00:00,1404/11/18 11:19:30,54,54,0,10,Completed
PLOG-00042,ORD-1404-0042,LINE-B,PRG_ORD-1404-0042,EMP-009,1404/11/15 14:51:00,1404/11/15 19:42:38,45,45,0,0,Completed
PLOG-00043,ORD-1404-0043,LINE-A,PRG_ORD-1404-0043,EMP-002,1404/11/18 07:02:00,1404/11/18 13:55:26,77,77,0,0,Completed
PLOG-00044,ORD-1404-0044,LINE-B,PRG_ORD-1404-0044,EMP-007,1404/11/18 09:35:00,1404/11/18 12:19:53,33,33,0,0,Completed
PLOG-00045,ORD-1404-0045,LINE-B,PRG_ORD-1404-0045,EMP-006,1404/11/18 13:50:00,1404/11/18 14:57:00,25,25,0,0,Completed
PLOG-00046,ORD-1404-0046,LINE-B,PRG_ORD-1404-0046,EMP-007,1404/11/18 07:00:00,1404/11/18 07:32:40,5,5,0,23,Completed
PLOG-00047,ORD-1404-0047,LINE-B,PRG_ORD-1404-0047,EMP-009,1404/11/19 07:48:00,1404/11/19 10:05:57,22,22,0,15,Completed
PLOG-00048,ORD-1404-0048,LINE-B,PRG_ORD-1404-0048,EMP-007,1404/11/21 11:04:00,1404/11/22 13:25:08,150,148,2,0,Completed
PLOG-00049,ORD-1404-0049,LINE-A,PRG_ORD-1404-0049,EMP-004,1404/11/22 08:25:00,1404/11/22 10:34:37,77,76,1,0,Completed
PLOG-00050,ORD-1404-0050,LINE-A,PRG_ORD-1404-0050,EMP-004,1404/11/20 14:36:00,1404/11/20 15:59:00,27,27,0,0,Completed
PLOG-00051,ORD-1404-0051,LINE-A,PRG_ORD-1404-0051,EMP-002,1404/11/22 11:39:00,1404/12/02 15:39:00,850,843,7,4,Completed
PLOG-00052,ORD-1404-0052,LINE-B,PRG_ORD-1404-0052,EMP-009,1404/11/20 10:31:00,1404/11/21 10:45:17,86,85,1,0,Completed
PLOG-00053,ORD-1404-0053,LINE-B,PRG_ORD-1404-0053,EMP-006,1404/11/20 14:55:00,1404/11/21 16:02:33,237,235,2,0,Completed
PLOG-00054,ORD-1404-0054,LINE-A,PRG_ORD-1404-0054,EMP-005,1404/11/21 14:01:00,1404/11/21 16:16:52,12,12,0,64,Completed
PLOG-00055,ORD-1404-0055,LINE-B,PRG_ORD-1404-0055,EMP-006,1404/11/21 14:34:00,1404/11/22 08:57:20,90,89,1,10,Completed
PLOG-00056,ORD-1404-0056,LINE-B,PRG_ORD-1404-0056,EMP-010,1404/11/21 13:43:00,1404/11/21 15:41:52,33,32,1,0,Completed
PLOG-00057,ORD-1404-0057,LINE-B,PRG_ORD-1404-0057,EMP-008,1404/11/25 07:00:00,1404/11/25 22:59:25,80,79,1,0,Completed
PLOG-00058,ORD-1404-0058,LINE-A,PRG_ORD-1404-0058,EMP-003,1404/11/23 11:51:00,1404/11/25 13:46:12,58,58,0,0,Completed
PLOG-00059,ORD-1404-0059,LINE-B,PRG_ORD-1404-0059,EMP-006,1404/11/23 08:13:00,1404/11/25 12:45:16,91,88,3,161,Completed
PLOG-00060,ORD-1404-0060,LINE-B,PRG_ORD-1404-0060,EMP-009,1404/11/25 07:00:00,1404/11/25 21:02:26,297,295,2,146,Completed
PLOG-00061,ORD-1404-0061,LINE-B,PRG_ORD-1404-0061,EMP-007,1404/11/22 11:34:00,1404/11/22 18:14:57,28,28,0,2,Completed
PLOG-00062,ORD-1404-0062,LINE-A,PRG_ORD-1404-0062,EMP-005,1404/11/23 08:03:00,1404/11/23 13:27:18,35,35,0,0,Completed
PLOG-00063,ORD-1404-0063,LINE-A,PRG_ORD-1404-0063,EMP-001,1404/11/26 07:29:00,1404/11/26 11:44:24,41,39,2,0,Completed
PLOG-00064,ORD-1404-0064,LINE-A,PRG_ORD-1404-0064,EMP-004,1404/11/25 07:00:00,1404/11/25 11:27:32,47,47,0,0,Completed
PLOG-00065,ORD-1404-0065,LINE-B,PRG_ORD-1404-0065,EMP-009,1404/11/25 13:49:00,1404/11/25 16:54:42,245,238,7,6,Completed
PLOG-00066,ORD-1404-0066,LINE-A,PRG_ORD-1404-0066,EMP-003,1404/11/25 10:04:00,1404/11/25 14:40:09,42,40,2,2,Completed
PLOG-00067,ORD-1404-0067,LINE-B,PRG_ORD-1404-0067,EMP-007,1404/11/29 12:10:00,1404/11/29 17:09:58,60,60,0,20,Completed
PLOG-00068,ORD-1404-0068,LINE-A,PRG_ORD-1404-0068,EMP-003,1404/11/29 10:15:00,1404/11/29 16:19:40,63,62,1,148,Completed
PLOG-00069,ORD-1404-0069,LINE-B,PRG_ORD-1404-0069,EMP-008,1404/11/27 12:42:00,1404/11/27 14:10:47,9,9,0,3,Completed
PLOG-00070,ORD-1404-0070,LINE-A,PRG_ORD-1404-0070,EMP-002,1404/11/30 10:41:00,1404/11/30 11:24:50,14,14,0,0,Completed
PLOG-00071,ORD-1404-0071,LINE-B,PRG_ORD-1404-0071,EMP-007,1404/11/29 12:29:00,1404/12/05 09:12:08,377,375,2,0,Completed
PLOG-00072,ORD-1404-0072,LINE-B,PRG_ORD-1404-0072,EMP-006,1404/12/02 07:00:00,1404/12/02 07:56:47,32,31,1,11,Completed
PLOG-00073,ORD-1404-0073,LINE-A,PRG_ORD-1404-0073,EMP-003,1404/12/02 07:00:00,1404/12/03 08:02:02,172,167,5,0,Completed
PLOG-00074,ORD-1404-0074,LINE-B,PRG_ORD-1404-0074,EMP-009,1404/12/02 12:20:00,1404/12/02 13:07:28,18,18,0,0,Completed
PLOG-00075,ORD-1404-0075,LINE-A,PRG_ORD-1404-0075,EMP-003,1404/12/02 09:45:00,1404/12/02 14:53:26,54,54,0,0,Completed
PLOG-00076,ORD-1404-0076,LINE-A,PRG_ORD-1404-0076,EMP-001,1404/12/04 10:03:00,1404/12/04 14:03:41,29,28,1,17,Completed
PLOG-00077,ORD-1404-0077,LINE-B,PRG_ORD-1404-0077,EMP-008,1404/12/05 13:39:00,1404/12/05 14:23:12,30,30,0,0,Completed
PLOG-00078,ORD-1404-0078,LINE-B,PRG_ORD-1404-0078,EMP-009,1404/12/03 07:29:00,1404/12/03 15:01:16,112,109,3,14,Completed
PLOG-00079,ORD-1404-0079,LINE-B,PRG_ORD-1404-0079,EMP-006,1404/12/04 13:34:00,1404/12/04 20:25:01,68,68,0,0,Completed
PLOG-00080,ORD-1404-0080,LINE-A,PRG_ORD-1404-0080,EMP-005,1404/12/04 11:47:00,1404/12/04 15:56:01,47,46,1,20,Completed
PLOG-00081,ORD-1404-0081,LINE-A,PRG_ORD-1404-0081,EMP-002,1404/12/07 11:40:00,1404/12/10 07:14:18,131,131,0,0,Completed
PLOG-00082,ORD-1404-0082,LINE-A,PRG_ORD-1404-0082,EMP-005,1404/12/07 08:18:00,1404/12/07 14:43:47,75,74,1,0,Completed
PLOG-00083,ORD-1404-0083,LINE-B,PRG_ORD-1404-0083,EMP-007,1404/12/09 07:00:00,1404/12/09 10:04:45,85,83,2,0,Completed
PLOG-00084,ORD-1404-0084,LINE-A,PRG_ORD-1404-0084,EMP-004,1404/12/06 13:30:00,1404/12/09 14:02:16,132,130,2,0,Completed
PLOG-00085,ORD-1404-0085,LINE-A,PRG_ORD-1404-0085,EMP-001,1404/12/06 09:31:00,1404/12/06 14:54:17,74,72,2,0,Completed
PLOG-00086,ORD-1404-0086,LINE-B,PRG_ORD-1404-0086,EMP-010,1404/12/09 14:26:00,1404/12/09 15:04:47,5,4,1,19,Completed
PLOG-00087,ORD-1404-0087,LINE-B,PRG_ORD-1404-0087,EMP-009,1404/12/09 07:00:00,1404/12/09 08:41:55,23,23,0,12,Completed
PLOG-00088,ORD-1404-0088,LINE-B,PRG_ORD-1404-0088,EMP-010,1404/12/09 07:00:00,1404/12/10 10:19:00,175,172,3,164,Completed
PLOG-00089,ORD-1404-0089,LINE-B,PRG_ORD-1404-0089,EMP-009,1404/12/09 10:54:00,1404/12/09 12:21:22,10,10,0,0,Completed
PLOG-00090,ORD-1404-0090,LINE-B,PRG_ORD-1404-0090,EMP-008,1404/12/10 07:42:00,1404/12/10 16:10:58,59,59,0,0,Completed
PLOG-00091,ORD-1404-0091,LINE-A,PRG_ORD-1404-0091,EMP-001,1404/12/12 11:21:00,1404/12/12 13:24:38,26,26,0,17,Completed
PLOG-00092,ORD-1404-0092,LINE-A,PRG_ORD-1404-0092,EMP-003,1404/12/11 11:30:00,1404/12/11 11:58:21,9,9,0,14,Completed
PLOG-00093,ORD-1404-0093,LINE-A,PRG_ORD-1404-0093,EMP-002,1404/12/11 08:00:00,1404/12/11 12:29:25,67,67,0,9,Completed
PLOG-00094,ORD-1404-0094,LINE-B,PRG_ORD-1404-0094,EMP-010,1404/12/13 11:47:00,1404/12/13 14:17:21,13,13,0,0,Completed
PLOG-00095,ORD-1404-0095,LINE-A,PRG_ORD-1404-0095,EMP-003,1404/12/13 07:48:00,1404/12/13 21:29:26,76,75,1,9,Completed
PLOG-00096,ORD-1404-0096,LINE-A,PRG_ORD-1404-0096,EMP-004,1404/12/12 11:49:00,1404/12/12 15:10:57,133,132,1,0,Completed
PLOG-00097,ORD-1404-0097,LINE-B,PRG_ORD-1404-0097,EMP-008,1404/12/14 09:57:00,1404/12/14 12:45:48,10,10,0,0,Completed
PLOG-00098,ORD-1404-0098,LINE-A,PRG_ORD-1404-0098,EMP-004,1404/12/12 13:26:00,1404/12/13 09:56:19,153,152,1,79,Completed
PLOG-00099,ORD-1404-0099,LINE-B,PRG_ORD-1404-0099,EMP-009,1404/12/14 13:15:00,1404/12/16 09:08:20,37,37,0,139,Completed
PLOG-00100,ORD-1404-0100,LINE-A,PRG_ORD-1404-0100,EMP-002,1404/12/14 08:04:00,1404/12/14 13:27:12,21,21,0,167,Completed
PLOG-00101,ORD-1404-0101,LINE-B,PRG_ORD-1404-0101,EMP-006,1404/12/16 07:00:00,1404/12/16 09:51:25,51,50,1,0,Completed
PLOG-00102,ORD-1404-0102,LINE-A,PRG_ORD-1404-0102,EMP-004,1404/12/17 13:02:00,1404/12/17 15:20:11,12,12,0,3,Completed
PLOG-00103,ORD-1404-0103,LINE-B,PRG_ORD-1404-0103,EMP-007,1404/12/19 13:15:00,1404/12/21 11:19:26,127,126,1,0,Completed
PLOG-00104,ORD-1404-0104,LINE-B,PRG_ORD-1404-0104,EMP-010,1404/12/18 08:43:00,1404/12/18 21:11:51,79,77,2,2,Completed
PLOG-00105,ORD-1404-0105,LINE-B,PRG_ORD-1404-0105,EMP-006,1404/12/16 11:14:00,1404/12/16 15:19:08,21,21,0,0,Completed
PLOG-00106,ORD-1404-0106,LINE-A,PRG_ORD-1404-0106,EMP-004,1404/12/17 12:21:00,1404/12/17 12:56:53,15,15,0,0,Completed
PLOG-00107,ORD-1404-0107,LINE-B,PRG_ORD-1404-0107,EMP-010,1404/12/17 12:37:00,1404/12/17 18:18:18,81,80,1,20,Completed
PLOG-00108,ORD-1404-0108,LINE-B,PRG_ORD-1404-0108,EMP-009,1404/12/20 10:31:00,1404/12/20 11:45:52,34,34,0,0,Completed
PLOG-00109,ORD-1404-0109,LINE-B,PRG_ORD-1404-0109,EMP-006,1404/12/20 10:46:00,1404/12/20 13:05:01,16,16,0,0,Completed
PLOG-00110,ORD-1404-0110,LINE-A,PRG_ORD-1404-0110,EMP-001,1404/12/23 07:00:00,1404/12/23 12:00:00,35,35,0,32,Completed
PLOG-00111,ORD-1404-0111,LINE-A,PRG_ORD-1404-0111,EMP-001,1404/12/20 11:35:00,1404/12/20 12:17:02,11,11,0,14,Completed
PLOG-00112,ORD-1404-0112,LINE-B,PRG_ORD-1404-0112,EMP-010,1404/12/23 07:00:00,1404/12/23 22:10:46,147,147,0,0,Completed
PLOG-00113,ORD-1404-0113,LINE-A,PRG_ORD-1404-0113,EMP-003,1404/12/23 08:43:00,1404/12/23 10:08:54,10,10,0,0,Completed
PLOG-00114,ORD-1404-0114,LINE-A,PRG_ORD-1404-0114,EMP-003,1404/12/23 07:00:00,1404/12/23 07:56:03,9,9,0,0,Completed
PLOG-00115,ORD-1404-0115,LINE-B,PRG_ORD-1404-0115,EMP-006,1404/12/23 07:00:00,1404/12/23 13:24:00,75,75,0,61,Completed
PLOG-00116,ORD-1404-0116,LINE-A,PRG_ORD-1404-0116,EMP-001,1404/12/24 11:03:00,1404/12/24 13:22:39,149,147,2,0,Completed
PLOG-00117,ORD-1404-0117,LINE-A,PRG_ORD-1404-0117,EMP-003,1404/12/23 10:09:00,1404/12/23 11:45:35,27,27,0,0,Completed
PLOG-00118,ORD-1404-0118,LINE-A,PRG_ORD-1404-0118,EMP-005,1404/12/26 12:31:00,1404/12/26 13:42:56,21,21,0,16,Completed
PLOG-00119,ORD-1404-0119,LINE-B,PRG_ORD-1404-0119,EMP-009,1404/12/25 13:05:00,1404/12/25 19:50:44,46,45,1,0,Completed
PLOG-00120,ORD-1404-0120,LINE-B,PRG_ORD-1404-0120,EMP-008,1404/12/28 12:27:00,1405/01/01 14:49:24,70,68,2,4,Completed
PLOG-00121,ORD-1404-0121,LINE-A,PRG_ORD-1404-0121,EMP-005,1405/01/01 07:00:00,1405/01/01 10:57:19,22,22,0,16,Completed
PLOG-00122,ORD-1404-0122,LINE-B,PRG_ORD-1404-0122,EMP-007,1404/12/27 09:58:00,1404/12/27 11:33:06,26,26,0,15,Completed
PLOG-00123,ORD-1404-0123,LINE-B,PRG_ORD-1404-0123,EMP-007,1404/12/27 13:13:00,1404/12/27 14:47:39,21,21,0,10,Completed
PLOG-00124,ORD-1404-0124,LINE-B,PRG_ORD-1404-0124,EMP-007,1405/01/01 07:00:00,1405/01/01 08:17:42,7,7,0,0,Completed
PLOG-00125,ORD-1404-0125,LINE-A,PRG_ORD-1404-0125,EMP-005,1405/01/02 08:58:00,1405/01/03 22:28:25,310,303,7,0,Completed
PLOG-00126,ORD-1405-0126,LINE-B,PRG_ORD-1405-0126,EMP-009,1405/01/01 14:13:00,1405/01/01 20:35:33,249,246,3,4,Completed
PLOG-00127,ORD-1405-0127,LINE-A,PRG_ORD-1405-0127,EMP-003,1405/01/02 11:38:00,1405/01/02 14:16:56,66,64,2,0,Completed
PLOG-00128,ORD-1405-0128,LINE-A,PRG_ORD-1405-0128,EMP-001,1405/01/03 12:45:00,1405/01/03 14:20:25,10,10,0,14,Completed
PLOG-00129,ORD-1405-0129,LINE-B,PRG_ORD-1405-0129,EMP-009,1405/01/03 12:42:00,1405/01/03 13:32:50,6,6,0,0,Completed
PLOG-00130,ORD-1405-0130,LINE-B,PRG_ORD-1405-0130,EMP-007,1405/01/02 09:49:00,1405/01/02 11:44:50,42,42,0,0,Completed
PLOG-00131,ORD-1405-0131,LINE-A,PRG_ORD-1405-0131,EMP-001,1405/01/03 08:47:00,1405/01/03 09:39:15,17,17,0,0,Completed
PLOG-00132,ORD-1405-0132,LINE-A,PRG_ORD-1405-0132,EMP-003,1405/01/04 11:28:00,1405/01/04 12:03:03,21,20,1,8,Completed
PLOG-00133,ORD-1405-0133,LINE-B,PRG_ORD-1405-0133,EMP-007,1405/01/03 13:16:00,1405/01/04 07:08:09,87,83,4,0,Completed
PLOG-00134,ORD-1405-0134,LINE-A,PRG_ORD-1405-0134,EMP-005,1405/01/04 12:13:00,1405/01/04 17:28:31,33,33,0,0,Completed
PLOG-00135,ORD-1405-0135,LINE-B,PRG_ORD-1405-0135,EMP-006,1405/01/08 07:00:00,1405/01/08 13:28:31,49,48,1,0,Completed
PLOG-00136,ORD-1405-0136,LINE-B,PRG_ORD-1405-0136,EMP-010,1405/01/04 12:13:00,1405/01/05 08:29:02,73,72,1,43,Completed
PLOG-00137,ORD-1405-0137,LINE-B,PRG_ORD-1405-0137,EMP-006,1405/01/05 12:18:00,1405/01/06 08:42:00,92,90,2,0,Completed
PLOG-00138,ORD-1405-0138,LINE-B,PRG_ORD-1405-0138,EMP-006,1405/01/05 14:46:00,1405/01/05 20:14:19,77,75,2,0,Completed
PLOG-00139,ORD-1405-0139,LINE-B,PRG_ORD-1405-0139,EMP-006,1405/01/08 12:30:00,1405/01/08 14:34:42,23,23,0,7,Completed
PLOG-00140,ORD-1405-0140,LINE-A,PRG_ORD-1405-0140,EMP-005,1405/01/09 08:49:00,1405/01/09 15:27:19,174,171,3,20,Completed
PLOG-00141,ORD-1405-0141,LINE-A,PRG_ORD-1405-0141,EMP-005,1405/01/08 13:53:00,1405/01/08 15:36:59,11,11,0,0,Completed
PLOG-00142,ORD-1405-0142,LINE-B,PRG_ORD-1405-0142,EMP-006,1405/01/10 13:55:00,1405/01/10 17:26:32,24,24,0,40,Completed
PLOG-00143,ORD-1405-0143,LINE-A,PRG_ORD-1405-0143,EMP-003,1405/01/09 10:41:00,1405/01/09 20:13:21,218,212,6,17,Completed
PLOG-00144,ORD-1405-0144,LINE-B,PRG_ORD-1405-0144,EMP-010,1405/01/12 08:30:00,1405/01/12 22:46:42,187,186,1,0,Completed
PLOG-00145,ORD-1405-0145,LINE-A,PRG_ORD-1405-0145,EMP-005,1405/01/12 08:51:00,1405/01/12 10:19:11,19,19,0,0,Completed
PLOG-00146,ORD-1405-0146,LINE-B,PRG_ORD-1405-0146,EMP-010,1405/01/10 11:03:00,1405/01/10 20:38:56,83,81,2,0,Completed
PLOG-00147,ORD-1405-0147,LINE-A,PRG_ORD-1405-0147,EMP-001,1405/01/12 11:14:00,1405/01/17 17:02:59,289,284,5,0,Completed
PLOG-00148,ORD-1405-0148,LINE-B,PRG_ORD-1405-0148,EMP-009,1405/01/12 10:53:00,1405/01/24 19:15:30,916,896,20,0,Completed
PLOG-00149,ORD-1405-0149,LINE-A,PRG_ORD-1405-0149,EMP-004,1405/01/12 10:26:00,1405/01/12 12:19:12,12,12,0,13,Completed
PLOG-00150,ORD-1405-0150,LINE-B,PRG_ORD-1405-0150,EMP-009,1405/01/13 08:48:00,1405/01/13 10:45:56,26,26,0,0,Completed
PLOG-00151,ORD-1405-0151,LINE-A,PRG_ORD-1405-0151,EMP-004,1405/01/16 11:46:00,1405/01/16 12:23:35,5,5,0,0,Completed
PLOG-00152,ORD-1405-0152,LINE-A,PRG_ORD-1405-0152,EMP-002,1405/01/16 10:00:00,1405/01/17 16:43:54,166,164,2,13,Completed
PLOG-00153,ORD-1405-0153,LINE-B,PRG_ORD-1405-0153,EMP-008,1405/01/18 14:31:00,1405/01/18 22:11:57,84,83,1,0,Completed
PLOG-00154,ORD-1405-0154,LINE-B,PRG_ORD-1405-0154,EMP-010,1405/01/16 14:01:00,1405/01/16 15:28:08,23,23,0,0,Completed
PLOG-00155,ORD-1405-0155,LINE-B,PRG_ORD-1405-0155,EMP-010,1405/01/17 14:23:00,1405/01/20 10:56:04,238,235,3,0,Completed
PLOG-00156,ORD-1405-0156,LINE-A,PRG_ORD-1405-0156,EMP-002,1405/01/15 14:37:00,1405/01/15 17:34:24,30,29,1,7,Completed
PLOG-00157,ORD-1405-0157,LINE-A,PRG_ORD-1405-0157,EMP-001,1405/01/17 12:42:00,1405/01/17 14:00:26,8,8,0,7,Completed
PLOG-00158,ORD-1405-0158,LINE-A,PRG_ORD-1405-0158,EMP-001,1405/01/17 13:51:00,1405/01/17 15:27:19,43,43,0,49,Completed
PLOG-00159,ORD-1405-0159,LINE-A,PRG_ORD-1405-0159,EMP-002,1405/01/17 12:45:00,1405/01/17 13:27:24,98,95,3,3,Completed
PLOG-00160,ORD-1405-0160,LINE-A,PRG_ORD-1405-0160,EMP-005,1405/01/19 07:54:00,1405/01/19 12:30:07,32,31,1,0,Completed
PLOG-00161,ORD-1405-0161,LINE-A,PRG_ORD-1405-0161,EMP-004,1405/01/20 10:02:00,1405/01/20 13:45:27,33,33,0,0,Completed
PLOG-00162,ORD-1405-0162,LINE-B,PRG_ORD-1405-0162,EMP-008,1405/01/19 12:05:00,1405/01/19 18:17:21,65,64,1,0,Completed
PLOG-00163,ORD-1405-0163,LINE-A,PRG_ORD-1405-0163,EMP-003,1405/01/20 13:53:00,1405/01/22 09:44:20,226,225,1,15,Completed
PLOG-00164,ORD-1405-0164,LINE-A,PRG_ORD-1405-0164,EMP-005,1405/01/22 13:26:00,1405/01/22 21:45:47,69,68,1,8,Completed
PLOG-00165,ORD-1405-0165,LINE-B,PRG_ORD-1405-0165,EMP-008,1405/01/22 07:00:00,1405/01/22 08:09:31,18,18,0,15,Completed
PLOG-00166,ORD-1405-0166,LINE-A,PRG_ORD-1405-0166,EMP-005,1405/01/20 12:51:00,1405/01/22 16:15:55,99,98,1,0,Completed
PLOG-00167,ORD-1405-0167,LINE-B,PRG_ORD-1405-0167,EMP-006,1405/01/22 10:42:00,1405/01/22 21:44:24,46,46,0,7,Completed
PLOG-00168,ORD-1405-0168,LINE-A,PRG_ORD-1405-0168,EMP-005,1405/01/22 11:34:00,1405/01/22 12:04:22,7,7,0,19,Completed
